Time Stamp,District,Area,Status
1459971611,8,Area09_017,Not Done
1459971611,8,Area09_018,Not Done
1459971611,8,Area09_019,Not Done
1459971611,8,Area09_020,Not Done
1459971611,9,Area10_001,Done
1459971611,9,Area10_002,Done
1459971611,9,Area10_003,Done
1459971611,9,Area10_004,Done
1459971611,9,Area10_005,Done
1459971611,9,Area10_006,Done
1459971611,9,Area10_007,Done
1459971611,9,Area10_008,Done
1459971611,9,Area10_009,Done
1459971611,9,Area10_010,Done
1459971611,9,Area10_011,Done
1459971611,9,Area10_012,Done
1459971611,9,Area10_013,Done
1459971611,9,Area10_014,Done
1459971611,9,Area10_015,Done
1459971611,9,Area10_016,Done
1459971611,9,Area10_017,Done
1459971611,9,Area10_018,Done
1459971611,9,Area10_019,Done
1459971611,9,Area10_020,Done
1459971611,9,Area10_021,Done
1459971611,9,Area10_022,Done
1459971611,9,Area10_023,Done
