Time Stamp,District,Area,Status
1479884401,7,Area08_021,Done
1479884401,7,Area08_022,Done
1479884401,7,Area08_099,Done
1479884401,8,Area09_001,Next
1479884401,8,Area09_002,Next
1479884401,8,Area09_003,Next
1479884401,8,Area09_004,Next
1479884401,8,Area09_005,Next
1479884401,8,Area09_006,Next
1479884401,8,Area09_007,Next
1479884401,8,Area09_008,Next
1479884401,8,Area09_009,Next
1479884401,8,Area09_010,Next
1479884401,8,Area09_011,Next
1479884401,8,Area09_012,Next
1479884401,8,Area09_013,Next
1479884401,8,Area09_014,Next
1479884401,8,Area09_015,Next
1479884401,8,Area09_016,Next
1479884401,8,Area09_017,Next
1479884401,8,Area09_018,Next
1479884401,8,Area09_019,Next
1479884401,8,Area09_020,Next
1479970801,0,Area01_001,Next
1479970801,0,Area01_002,Next
1479970801,0,Area01_003,Next
1479970801,0,Area01_004,Next
1479970801,0,Area01_005,Next
1479970801,0,Area01_006,Current
1479970801,0,Area01_007,Next
1479970801,0,Area01_008,Next
1479970801,0,Area01_009,Next
1479970801,0,Area01_010,Current
1479970801,0,Area01_011,Next
1479970801,0,Area01_012,Next
1479970801,0,Area01_013,Current
1479970801,0,Area01_014,Next
1479970801,0,Area01_015,Next
1479970801,0,Area01_016,Next
1479970801,0,Area01_017,Next
1479970801,0,Area01_018,Next
1479970801,0,Area01_019,Next
1479970801,0,Area01_020,Next
1479970801,0,Area01_021,Next
1479970801,9,Area10_001,Done
1479970801,9,Area10_002,Done
1479970801,9,Area10_003,Done
1479970801,9,Area10_004,Done
1479970801,9,Area10_005,Done
1479970801,9,Area10_006,Done
1479970801,9,Area10_007,Done
1479970801,9,Area10_008,Done
1479970801,9,Area10_009,Done
1479970801,9,Area10_010,Done
1479970801,9,Area10_011,Done
1479970801,9,Area10_012,Done
1479970801,9,Area10_013,Done
1479970801,9,Area10_014,Done
1479970801,9,Area10_015,Done
1479970801,9,Area10_016,Done
1479970801,9,Area10_017,Done
1479970801,9,Area10_018,Done
1479970801,9,Area10_019,Done
1479970801,9,Area10_020,Done
1479970801,9,Area10_021,Done
1479970801,9,Area10_022,Done
1479970801,9,Area10_023,Done
1479970801,1,Area02_001,Done
1479970801,1,Area02_002,Done
1479970801,1,Area02_003,Done
1479970801,1,Area02_004,Next
1479970801,1,Area02_005,Done
1479970801,1,Area02_006,Done
1479970801,1,Area02_007,Done
1479970801,1,Area02_008,Done
1479970801,1,Area02_009,Done
1479970801,1,Area02_010,Done
1479970801,1,Area02_011,Current
1479970801,1,Area02_012,Next
1479970801,1,Area02_013,Done
1479970801,1,Area02_014,Not Done
1479970801,1,Area02_015,Done
1479970801,1,Area02_016,Done
1479970801,1,Area02_017,Done
1479970801,1,Area02_018,Current
1479970801,1,Area02_019,Done
1479970801,1,Area02_020,Done
1479970801,1,Area02_021,Done
1479970801,1,Area02_022,Done
1479970801,1,Area02_023,Done
1479970801,1,Area02_024,Done
1479970801,1,Area02_025,Done
